brand_id,cpg_id,barcode,category,categoryCode,name,topBrand,brandCode
57d95749e4b0ac389136a2b2,559c2234e4b06aca36af13c6,511111202394,Frozen,,Bagel Bites,False,BAGEL BITES
5d658fca6d5f3b23d1bc7912,53e10d6368abd3c7065097cc,511111405184,,,Do It Yourself,True,
57ebc2b7e4b0ac389136a347,559c2234e4b06aca36af13c6,511111601951,Dairy,,Polly-O,False,POLLY-O
57ebbfa9e4b0ac389136a331,559c2234e4b06aca36af13c6,511111202165,Beverages,,Gevalia Iced Coffee,False,
5a5d2c59e4b06ba572cf24a9,53e10d6368abd3c7065097cc,511111900054,Beauty & Personal Care,,Sunsilk,True,SUNSILK
5887a051e4b02187f85cdad0,559c2234e4b06aca36af13c6,511111401209,Baking,,Baker's,False,BAKER'S
5ab1528ce4b0915382df761c,5a734034e4b0d58f376be874,511111504344,Grocery,,Ecce Panis,False,ECCE PANIS
5d66d6016d5f3b6188d4f047,5d5d4fd16d5f3b23d1bc7905,511111405306,Magazines,,Do It Yourself Special Edition Magazine,True,511111405306
5f21c54abe37ce7958c59528,5f10c05cbe37ce238c6cabaf,511111315230,Cleaning & Home Improvement,CLEANING_AND_HOME_IMPROVEMENT,AIR WICK®,False,AIR WICK
5332f7fde4b03c9a25efd168,5332f709e4b03c9a25efd0f1,511111903345,Beer Wine Spirits,,Hamm's Beer,False,HAMM'S
57c08242e4b0718ff5fcb032,5332f7a7e4b03c9a25efd134,511111202516,,,Corona,True,
5f5bc4f1be37ce17125ac0e9,5f5bc4f1be37ce17125ac0e8,511111716594,Baking,BAKING,test brand @1599849713740,True,TEST BRANDCODE @1599849713740
5332fa12e4b03c9a25efd1e6,5332fa12e4b03c9a25efd1e7,511111703105,,,Bellatoria,True,
5dc0351a1dda2c0ad7da64aa,5332f5f3e4b03c9a25efd0ae,511111306238,Breakfast & Cereal,,Monster's Cereal,True,MONSTERS CEREAL
5d66e2d46d5f3b6188d4f056,5332f5fbe4b03c9a25efd0ba,511111905523,Beverages,,Tazo Bottled Teas,True, TAZO BOTTLED TEAS
5a0219ede4b00d6a5ccb394e,5332f5f6e4b03c9a25efd0b4,511111400554,Personal Care,,TONI&GUY,False,TONI&GUY
5d66da306d5f3b6188d4f04c,5d5d4fd16d5f3b23d1bc7905,511111005377,Magazines,,Modern Farmhouse Magazine,True,511111005377
5d66dfe6a3a018093ab3472c,5d5d4fd16d5f3b23d1bc7905,511111905479,Magazines,,Weight Watchers Special Edition Magazine ,True,511111905479
5f3e9172be37ce5a0e01b955,5f3e9172be37ce5a0e01b952,511111715559,Baking,BAKING,test brand @1597935986434,True,TEST BRANDCODE @1597935986434
58b598dbe4b0857c2ddb7253,5332f709e4b03c9a25efd0f1,511111101017,Beer Wine Spirits,,Mickey's,False,MICKEY'S
57d95826e4b0ac389136a2b7,559c2234e4b06aca36af13c6,511111302346,Beverages,,Crystal Light,False,CRYSTAL LIGHT
5a5d1bffe4b0db471c2d0423,5332f709e4b03c9a25efd0f1,511111000396,Beer Wine Spirits,,Coors Extra Gold,True,COORS EXTRA GOLD
5fb82fe3be37ce522e165cea,5fb6b608be37ce522e165cb9,511111617853,Grocery,GROCERY,D'Italiano,False,D ITALIANO
5332fa75e4b03c9a25efd221,5332f5ebe4b03c9a25efd0a8,511111303015,,,DASANI,True,
5f628215be37ce78e6e2efab,5f628214be37ce78e6e2efaa,511111716648,Baking,BAKING,test brand @1600291349042,True,TEST BRANDCODE @1600291349043
585a96cbe4b03e62d1ce0e88,5332f5fbe4b03c9a25efd0ba,511111501619,Beverages,,Pepsi Max,False,
5887a216e4b02187f85cdad5,559c2234e4b06aca36af13c6,511111401155,Deli,,Claussen,False,CLAUSSEN
5332f709e4b03c9a25efd0f2,5332f709e4b03c9a25efd0f1,511111403845,Beer Wine Spirits,,Blue Moon,False,BLUE MOON
5f77274dbe37ce6b592e90c0,5f77274dbe37ce6b592e90bf,511111116752,Baking,BAKING,test brand @1601644365844,True,
5dc1fca91dda2c0ad7da64ae,53e10d6368abd3c7065097cc,511111706328,Breakfast & Cereal,,Dippin Dots® Cereal,True,DIPPIN DOTS CEREAL
5f494c6e04db711dd8fe87e7,5332fa12e4b03c9a25efd1e7,511111416173,Candy & Sweets,CANDY_AND_SWEETS,test brand @1598639215217,True,TEST BRANDCODE @1598639215217
5a021611e4b00efe02b02a57,5332f5f6e4b03c9a25efd0b4,511111400608,Grocery,,LIPTON TEA Leaves,False,LIPTON TEA Leaves
6026d757be37ce6369301468,6026d757be37ce6369301467,511111019930,Baking,BAKING,test brand @1613158231643,False,TEST BRANDCODE @1613158231644
